,,,,,,,
№,Этап проверки,Объект проверки,Описание проверки,Статус,Окружение Google chrome версия 146.0.7680.155 1920x1080,Окружение Yandex Браузер версия 25.12.5.693 1280x720 ,Ссылка на баг-репорт
VSH1,"Верстка окно ""Статус заказа"" Шапка","Текст ""Яндекс Самокат""","Текст: Яндекс самокат, черного цвета, слово ""Яндекс"" жирный шрифт, расположено слева, слово ""Самокат"" обычный шрифт, расположено справа от слова ""Самокат"", текст расположен в верхней левой части страницы",Passed,Passed,Passed,
VSH2,,"Текст  ""Учебный тренажер""","Текст: Учебный тренажер, серого цвета, обычный шрифт, расположение справа от текста ""Яндекс Самокат""",Passed,Passed,Passed,
VSH3,,"Кнопка ""Заказать""","Кликабельна, Текст: Заказать, цвет текста белый, обычный шрифт, выравнивание по центру, цвет кнопки черный, без обрамления, форма прямоугольник со скругленными углами, расположение в правой части страницы сверху",Passed,Passed,Passed,
VSH4,,"Кнопка ""Статус заказа""","Кликабельна, Текст: Статус заказа, цвет текста черный, обычный шрифт, выравнивание по центру, цвет кнопки белый, без обрамления, расположение справа от кнопки ""Заказать""",Passed,Passed,Passed,
VSH5,,Поле для ввода номера заказа,"Поле белого цвета без плейсхолдера, цвет текста черный, обычный шрифт, выравнивание текста по левому краю, черное обрамление со скругленными углами, расположено под текстом ""Яндекс Самокат учебный тренажер""",Passed,Passed,Passed,
VSH6,,"Кнопка ""Посмотреть""","Кликабельна, Текст: Посмотреть, цвет текста белый, обычный шрифт, выравнивание по центру, цвет кнопки черный, без обрамления, форма прямоугольник со скругленными углами, расположение под кнопкой заказать, в правой части страницы",Passed,Passed,Passed,
VNZ1,"Верстка окно ""Статус заказа"" поиск ""Такого заказа нет""","Изображение с текстом о том, что заказ не найден",Отображается изображение с разобранным самокатом,Passed,Passed,Passed,
VNZ2,,,"Текст Заголовок Такого заказа нет, цвет черный, обычный шрифт, выравнивание по центру, расположен в верхней части картинки по центру",Passed,Passed,Passed,
VNZ3,,,"Текст Подзаголовок Точно верный номер?, цвет черный, обычный шрифт, выравнивание по центру, расположен под заголовком ""Такого заказа нет""",Passed,Passed,Passed,
VIN1,"Верстка окно ""Статус заказа"" форма с информацией о заказе","Форма ""Информация о заказе""","Прямоугольная форма белого цвета, без обрамления, расположена в левой части страницы",Passed,Passed,Passed,
VIN2,,Имя,"Имя Текст - цвет текста серый, обычный шрифт, выравнивание по левому краю формы, расположение под полем для номера заказа, в левой части страницы",Passed,Passed,Passed,
VIN3,,,"Имя Значение - цвет текста черный, обычный шрифт, выравнивание по правому краю формы, расположение справа от текста ""Имя""",Passed,Passed,Passed,
VIN4,,,"Имя Значение - переносится на вторую строку, если слишком длинное",Failed,Failed,Failed,WPRS1
VIN5,,Фамилия,"Фамилия Текст - цвет текста серый, обычный шрифт, выравнивание по левому краю формы, расположение под текстом ""Имя"", в левой части страницы",Passed,Passed,Passed,
VIN6,,,"Фамилия Значение - цвет текста черный, обычный шрифт, выравнивание по правому краю формы, расположение справа от текста ""Фамилия""",Passed,Passed,Passed,
VIN7,,,"Фамилия Значение - переносится на вторую строку, если слишком длинное",Failed,Failed,Failed,WPRS1
VIN8,,Адрес,"Адрес Текст - цвет текста серый, обычный шрифт, выравнивание по левому краю формы, расположение под текстом ""Фамилия"", в левой части страницы",Passed,Passed,Passed,
VIN9,,,"Адрес Значение - цвет текста черный, обычный шрифт, выравнивание по правому краю формы, расположение справа от текста ""Адрес""",Passed,Passed,Passed,
VIN10,,,"Адрес Значение - переносится на вторую строку, если слишком длинное",Passed,Passed,Passed,
VIN11,,Станция метро,"Станция метро Текст - цвет текста серый, обычный шрифт, выравнивание по левому краю формы, расположение под текстом ""Адрес"", в левой части страницы",Passed,Passed,Passed,
VIN12,,,"Станция метро Значение - цветная иконка ветки, цвет текста черный, обычный шрифт, выравнивание по правому краю формы, расположение справа от текста ""Станция метро""",Passed,Passed,Passed,
VIN13,,,"Станция метро Значение - переносится на вторую строку, если слишком длинное",Passed,Passed,Passed,
VIN14,,Телефон,"Телефон Текст - цвет текста серый, обычный шрифт, выравнивание по левому краю формы, расположение под текстом ""Станция метро"", в левой части страницы",Passed,Passed,Passed,
VIN15,,,"Телефон Значение - цвет значения черный, обычный шрифт, выравнивание по правому краю формы, расположение справа от текста ""Адрес""",Passed,Passed,Passed,
VIN16,,,"Телефон Значение - переносится на вторую строку, если слишком длинное",Failed,Failed,Failed,WPRS1
VIN17,,Разделитель,"Разделитель между Информацией о ""Телефон"" и ""Когда привезем"", цвет серый, полностью разделяет блоки информации",Passed,Passed,Passed,
VIN18,,Дата доставки,"Дата доставки Текст - цвет текста серый, обычный шрифт, выравнивание по левому краю формы, расположение под разделителем, в левой части страницы",Passed,Passed,Passed,
VIN19,,,"Дата доставки Значение - цвет текста черный, обычный шрифт, выравнивание по правому краю формы, расположение справа от текста ""Когда привезем""",Passed,Passed,Passed,
VIN20,,,"Дата доставки Значение - переносится на вторую строку, если слишком длинное",Skipped,Skipped,Skipped,нельзя воспроизвести из-за типа данных дата
VIN21,,Срок аренды,"Срок аренды Текст - цвет текста серый, обычный шрифт, выравнивание по левому краю формы, расположение под текстом ""Когда привезем"", в левой части страницы",Passed,Passed,Passed,
VIN22,,,"Срок аренды Значение - цвет текста черный, обычный шрифт, выравнивание по правому краю формы, расположение справа от текста ""Срок аренды""",Passed,Passed,Passed,
VIN23,,,"Срок аренды Значение - переносится на вторую строку, если слишком длинное",Skipped,Skipped,Skipped,"нельзя воспроизвести, вместо значения в api зашит ID"
VIN24,,Разделитель2,"Разделитель между Информацией о ""Срок аренды"" и ""Цвет"", цвет серый, полностью разделяет блоки информации",Passed,Passed,Passed,
VIN25,,Цвет,"Цвет Текст - цвет текста серый, обычный шрифт, выравнивание по левому краю формы, расположение под разделителем2, в левой части страницы",Passed,Passed,Passed,
VIN26,,,"Цвет Значение - цвет текста черный, обычный шрифт, выравнивание по правому краю формы, расположение справа от текста ""Цвет""",Passed,Passed,Passed,
VIN27,,,"Цвет Значение - переносится на вторую строку, если слишком длинное",Passed,Passed,Passed,
VIN28,,Комментарий,"Комментарий Текст - цвет текста серый, обычный шрифт, выравнивание по левому краю формы, расположение под текстом ""Цвет"", в левой части страницы",Passed,Passed,Passed,
VIN29,,,"Комментарий Значение - цвет текста черный, обычный шрифт, выравнивание по правому краю формы, расположение справа от текста ""Комментарий""",Passed,Passed,Passed,
VIN30,,,"Комментарий Значение - переносится на вторую строку, если слишком длинное",Passed,Passed,Passed,
VIN31,,"Кнопка ""Отменить заказ""","Текст ""Отменить заказ"", цвет текста черный, обычный шрифт, выравнивание по центру, цвет кнопки белый, с черным обрамлением, форма кнопки прямоугольник со скругленными углами, расположение, в нижней части страницы слева",Passed,Passed,Passed,
VDS1,Информация о статусе выполнения заказа,Статусы: Самокат на складе активен,"Иконка шаг 1 - цвет иконки белый, с черным обрамлением, цвет текста черный, обычный шрифт, расположение в правой части страницы",Passed,Passed,Failed,WVYA1
VDS2,,,"Заголовок ""Самокат на складе"" - цвет текста черный, обычный шрифт, выравнивание по левому краю, расположение справа от иконки шага 1",Passed,Passed,Passed,
VDS3,,,"Подзаголовок ""Скоро курьер заберет его"" - цвет текста черный, обычный шрифт, выравнивание по левому краю, расположение снизу от заголовка ""Самокат на складе""",Passed,Passed,Passed,
